Sample ID,Treatment,Species,Location,Alg_Vol,Alg_SA,Chl_conc.,AFDW,Chl_cm2,AFDW_cm2,Experiment,AFDW_SA,AFDW_cm2_g,Chl_per_AFDW
1,Pr,Acropora,Algae,25,2.9964191,4.7051,0.3473,39.25602397,0.03442624,Shikine,10.088235,34426.24,0.001140294
4,Pr,Acropora,Algae,14.5,12.9143583,6.3448,1.0597,7.123822792,0.099000114,Shikine,10.7040281,99000.114,7.20E-05
5,Pr,Acropora,Algae,12.5,1.6791928,1.1684,0.0084,8.697631386,0.0042,Shikine,2,4200,0.002070865
6,Pr,Acropora,Algae,14.5,6.1039313,8.0804,0.2311,19.1951374,0.025902559,Shikine,8.9218984,25902.559,0.000741052
7,Pr,Porites,Algae,31,12.3475024,3.754,0.5359,9.424901995,0.059306656,Shikine,9.0360852,59306.656,0.000158918
8,Pr,Porites,Algae,23,6.4872727,2.8949,0.3977,10.26358889,0.123481913,Shikine,3.2207146,123481.913,8.31E-05
9,Pr,Porites,Algae,21.5,9.5743944,2.9259,0.2681,6.570321565,0.044668602,Shikine,6.0019788,44668.602,0.00014709
10,Pr,Porites,Algae,23.5,11.5930539,1.8674,0.2737,3.785361509,0.030344445,Shikine,9.0197728,30344.445,0.000124746
11,Pr,Porites,Algae,21.5,3.073903,5.4359,0.465,38.02066949,0.031198692,Shikine,14.9044711,31198.692,0.001218662
12,Pr,Porites,Algae,35,9.2889274,6.3991,0.8318,24.11134142,0.159006949,Shikine,5.2312179,159006.949,0.000151637
13,Pr,Porites,Algae,17,7.9146077,1.4559,0.1906,3.127166998,0.017929336,Shikine,10.6306223,17929.336,0.000174416
14,OA,Acropora,Algae,14.5,1.6506461,5.0766,0.1197,44.5950831,0.024343101,Shikine,4.9172042,24343.101,0.001831939
15,OA,Acropora,Algae,14,1.6588023,1.0507,0.0494,8.867723417,0.018140514,Shikine,2.7231864,18140.514,0.000488835
16,OA,Acropora,Algae,17.5,8.905586,2.9652,0.2619,5.826792308,0.016812864,Shikine,15.5773576,16812.864,0.000346568
17,OA,Acropora,Algae,21,16.4663834,5.9635,0.5248,7.605404111,0.117763775,Shikine,4.4563789,117763.775,6.46E-05
18,OA,Acropora,Algae,13,4.7336897,2.0077,0.1762,5.513690515,0.015520884,Shikine,11.352446,15520.884,0.000355243
19,OA,Acropora,Algae,15,7.6984684,1.2501,0.51,2.435744232,0.012971825,Shikine,39.3159777,12971.825,0.000187772
20,OA,Porites,Algae,16,3.6815399,4.6674,0.2404,20.28455538,0.016298854,Shikine,14.7495033,16298.854,0.001244539
21,OA,Porites,Algae,20,11.5400386,5.0777,0.2224,8.800143875,0.023785845,Shikine,9.3500989,23785.845,0.000369974
22,OA,Porites,Algae,20.5,7.8779048,2.4321,0.3363,6.328846472,0.01926858,Shikine,17.4532836,19268.58,0.000328454
23,OA,Porites,Algae,15,6.7686616,1.4901,0.4497,3.302203792,0.044343645,Shikine,10.1412503,44343.645,7.45E-05
24,OA,Porites,Algae,23.5,7.8575143,1.91,0.5062,5.712366314,0.035846112,Shikine,14.1214759,35846.112,0.000159358
25,OA,Porites,Algae,22.5,7.1316125,2.8707,0.0897,9.056962924,0.014350294,Shikine,6.2507429,14350.294,0.000631134
26,OA,Porites,Algae,23.5,10.4348735,2.6507,0.1409,5.969545294,0.035192361,Shikine,4.0037098,35192.361,0.000169626
4C-02,OA,Acropora,Algae,19,1.458333333,7.5318,,98.12859431,0.015177719,Shimoda,,15177.719,0.000340279
4C-03,Pr,Acropora,Algae,25.5,16.39880952,10.472,,16.28386498,0.009712003,Shimoda,31.7978528,9712.003,6.58E-05
4D-02,Pr,Acropora,Algae,,,,,,,Shimoda,,,
4D-03,OA,Acropora,Algae,,,,0.1131,,0.015177719,Shimoda,7.4517128,,
4A-08,Pr,Acropora,Algae,16,5.535714286,6.680666343,0.052,19.30928078,0.057344233,Shimoda,5.3541992,57344.233,2.10E-05
4A-07,Pr,Acropora,Algae,17.5,4.761904762,18.13245902,0.1889,66.6367869,0.010468864,Shimoda,3.2941412,10468.864,0.000363728
4B-08,Pr,Acropora,Algae,14,3.303571429,9.058601505,0.0281,38.38888421,0.010313866,Shimoda,2.68415,10313.866,0.000265862
4B-07,OA,Acropora,Algae,13.5,2.113095238,3.589477487,0.0486,22.9322111,0.01857881,Shimoda,4.7121032,18578.81,9.14E-05
4A-06,OA,Acropora,Algae,20.5,8.363095238,10.66051555,0.2979,26.13154132,0.013581824,Shimoda,16.034396,13581.824,9.39E-05
4A-05,OA,Acropora,Algae,17,5.357142857,5.185921709,0.0749,16.45665822,0.008934081,Shimoda,5.5147232,8934.081,0.000108353
4B-06,OA,Acropora,Algae,15,9.285714286,7.09839,0.0809,11.46663,0.006260321,Shimoda,9.055212,6260.321,0.000122109
4B-05,Pr,Acropora,Algae,19,8.928571429,,0.0704,,0.006260321,Shimoda,11.24543,,
4A-04,OA,Acropora,Algae,14.5,5.68452381,2.220465094,0.1624,5.66392981,0.015827098,Shimoda,10.2608828,15827.098,2.47E-05
4A-03,OA,Acropora,Algae,18.5,3.958333333,2.422334783,0.2135,11.32122783,0.020444689,Shimoda,10.44281,20444.689,2.99E-05
4B-04,OA,Acropora,Algae,15,6.845238095,5.0487594,0.359,11.06336842,0.137870753,Shimoda,2.603888,137870.753,5.35E-06
4B-03,OA,Acropora,Algae,19,7.916666667,7.314653044,0.3662,17.5551673,0.019511254,Shimoda,18.7686548,19511.254,4.74E-05
4A-02,Pr,Acropora,Algae,12,1.81547619,1.516521,0.4375,10.0239552,0.046838808,Shimoda,9.3405452,46838.808,1.78E-05
4A-01,Pr,Acropora,Algae,16,6.101190476,1.872004809,0.192,4.909218465,0.011516908,Shimoda,16.6711412,11516.908,2.66E-05
4B-02,Pr,Acropora,Algae,15,5.476190476,4.290569012,0.114,11.75242816,0.008683126,Shimoda,13.1289116,8683.126,9.02E-05
4B-01,Pr,Acropora,Algae,12,3.154761905,2.777772974,0.1043,10.56601946,0.013653636,Shimoda,7.6389908,13653.636,6.45E-05
4C-02,OA,Porites,Algae,36,29.55357143,10.226,0.0702,12.45656556,0.016325234,Shimoda,4.3000916,16325.234,2.12E-05
4C-03,Pr,Porites,Algae,29.5,9.494047619,6.342400002,0.0308,19.70716891,0.015614753,Shimoda,1.9724936,15614.753,4.28E-05
4D-02,Pr,Porites,Algae,18,6.369047619,3.286700001,0.2244,9.288767106,0.036258322,Shimoda,6.188924,36258.322,1.42E-05
4D-03,OA,Porites,Algae,16,6.19047619,4.792399999,0.1747,12.38651077,0.008885051,Shimoda,19.6622384,8885.051,8.71E-05
4A-08,Pr,Porites,Algae,15,5.833333333,4.691385107,0.1525,12.0635617,0.022151119,Shimoda,6.884528,22151.119,3.63E-05
4A-07,Pr,Porites,Algae,13.5,12.82738095,11.69169542,0.2429,12.30476344,0.008847848,Shimoda,27.4530032,8847.848,0.000103015
4B-08,Pr,Porites,Algae,14,7.708333333,35.15944328,0.1686,63.85715104,0.00718958,Shimoda,23.4506048,7189.58,0.000634422
4B-07,OA,Porites,Algae,19,5.178571429,17.7788972,0.2488,65.23016076,0.020604889,Shimoda,12.074804,20604.889,0.000166619
4A-06,OA,Porites,Algae,20.5,5,1.99376142,0.0916,8.174421822,0.005883533,Shimoda,15.5688764,5883.533,6.78E-05
4A-05,OA,Porites,Algae,18,13.42261905,14.29992143,0.1055,19.17648,0.009249555,Shimoda,11.405954,9249.555,0.00011518
4B-06,OA,Porites,Algae,16.5,2.738095238,2.292955916,0.1798,13.81755174,0.014618436,Shimoda,12.2995376,14618.436,5.73E-05
4B-05,Pr,Porites,Algae,22.5,3.392857143,2.999014286,0.216,19.8882,0.011095664,Shimoda,19.467064,11095.664,7.97E-05
4A-04,OA,Porites,Algae,23,3.18452381,1.443766286,0.0805,10.4275008,0.013306218,Shimoda,6.0498032,13306.218,3.41E-05
4A-03,OA,Porites,Algae,20,1.994047619,1.714242857,0.1053,17.1936,0.007209498,Shimoda,14.6057324,7209.498,0.000119243
4B-04,OA,Porites,Algae,17.5,4.226190476,3.084330711,0.4951,12.77173562,0.030360661,Shimoda,16.3072868,30360.661,2.40E-05
4B-03,OA,Porites,Algae,26.5,12.11309524,23.76994648,0.2664,52.00186816,0.025681441,Shimoda,10.3732496,25681.441,7.64E-05
4A-02,Pr,Porites,Algae,20.5,11.72619048,19.90633158,2.5667,34.80071367,0.055018391,Shimoda,46.6516736,55018.391,3.09E-05
4A-01,Pr,Porites,Algae,22,11.19047619,27.6924,0.2494,54.44208,0.025925937,Shimoda,9.61971,25925.937,9.55E-05
4B-02,Pr,Porites,Algae,21,7.083333333,6.286345977,0.2515,18.6371669,0.016687399,Shimoda,15.071252,16687.399,5.32E-05
4B-01,Pr,Porites,Algae,15.5,5.208333333,6.380337838,0.0837,18.98788541,0.006255419,Shimoda,13.3803992,6255.419,0.000195834
1A,Pr,Acropora,Algae,,,,,,,Sesoko,,,
1B,OA,Acropora,Algae,,,,,,,Sesoko,,,
1C,Pr,Acropora,Algae,,,,,,,Sesoko,,,
1D,OA,Acropora,Algae,10,16.1200088,6.8678,,4.26041951,,Sesoko,,,
1E,Pr,Acropora,Algae,17,60.5905076,11.917,0.4628,3.343576544,0.003722214,Sesoko,124.334588,,
2A,OA,Acropora,Algae,14,13.091456,5.015,0.0242,5.363039833,0.00321754,Sesoko,7.5212732,,
2B,OA,Acropora,Algae,11,19.7853068,3.9643,0.4425,2.204024453,0.005265158,Sesoko,84.043064,,
2C,OA,Acropora,Algae,,,,0.5676,,0.003812088,Sesoko,148.89476,,
2D,Pr,Acropora,Algae,9,10.7424548,7.0196,0.4549,5.881002171,0.00344364,Sesoko,132.0985988,,
2E,Pr,Acropora,Algae,,,,,,,Sesoko,,,
1A,Pr,Porites,Algae,11,10.9457852,2.1973,0.1387,2.208183292,0.013923972,Sesoko,9.961238,,
1B,OA,Porites,Algae,13,4.0004468,3.2024,1.1639,10.40663758,0.048138179,Sesoko,24.1783136,,
1C,Pr,Porites,Algae,12,8.6556428,3.7231,-0.1474,5.161627049,-0.006765261,Sesoko,21.787778,,
1D,OA,Porites,Algae,19,14.606109,4.9972,4.1576,6.500485516,0.214545433,Sesoko,19.378646,,
1E,Pr,Porites,Algae,24,31.3216316,10.948,1.0625,8.388835018,0.074464041,Sesoko,14.268632,,
2A,OA,Porites,Algae,18,8.03495,6.0442,1.4943,13.54029583,0.06516342,Sesoko,22.9315772,,
2B,OA,Porites,Algae,27,1.6300424,6.8382,2.9006,113.2678512,0.190765919,Sesoko,15.205022,,
2C,OA,Porites,Algae,22,5.172272,6.0262,3.1186,25.63214,0.143135294,Sesoko,21.787778,,
2D,Pr,Porites,Algae,36,6.96479,9.1101,6.386,47.08879952,0.143296754,Sesoko,44.5648616,,
2E,Pr,Porites,Algae,20,8.2917884,12.692,0.3872,30.6134199,0.042612325,Sesoko,9.086573,,
