Sample ID,Tank No.,Treatment,Species,Coral_Vol,Coral_SA,Zoox_Count,Zoox_Squares,Chl_conc,Prot_ABS,Chl_cm2,Zoox_cm2,Prot_cm2,Experiment
1,,Pr,Acropora,31,26.8533041,1340,8,4.1583,1.0681,4.80042603,1933654.041,331.1320057,Shikine
2,,Pr,Acropora,23,12.0375668,1310,8,2.6182,0.9857,5.002555832,3128746.916,478.8201588,Shikine
3,,Pr,Acropora,38,23.8028853,1230,8,3.3133,1.1205,5.289501605,2454534.367,494.7100606,Shikine
4,,Pr,Acropora,17.5,10.863074,876,8,3.4922,0.8101,5.625801684,1764003.449,279.3048586,Shikine
5,,Pr,Acropora,24,16.9353649,1089,8,3.7773,0.9029,5.353011319,1929099.266,303.5375985,Shikine
6,,Pr,Acropora,37,48.9688404,1218,8,3.4837,0.8609,2.632222837,1150374.392,147.881095,Shikine
8,,Pr,Porites,24,4.5950343,663,8,3.9457,0.6443,20.60850775,4328585.752,524.725455,Shikine
9,,Pr,Porites,19.5,6.7238025,215,8,2.7227,0.5707,7.8962239,779413.8808,197.4903948,Shikine
11,,Pr,Porites,14,3.604056,265,8,1.9219,0.5075,7.465644263,1286744.712,156.558569,Shikine
13,,Pr,Porites,16.5,2.6212339,304,8,2.8231,0.5249,17.7706957,2392003.247,301.8662335,Shikine
14,,OA,Acropora,30,23.423622,1259,8,7.3235,1.0964,9.379633944,2015593.489,383.3102686,Shikine
15,,OA,Acropora,30,13.8890242,1289,8,7.053,1.0661,15.23433158,3480266.094,617.664984,Shikine
16,,OA,Acropora,24,15.1287666,1187,8,4.9602,0.9377,7.868771007,2353793.997,364.0624541,Shikine
17,,OA,Acropora,26,25.3607195,1042,8,3.9168,0.8804,4.015532761,1335332.777,209.4432379,Shikine
18,,OA,Acropora,14,9.3786456,773,8,3.7799,0.6671,5.642456518,1442372.447,164.9351094,Shikine
19,,OA,Acropora,11.5,2.6946397,581,8,2.69,0.5784,11.480199,3099440.344,305.070148,Shikine
A1,4C-02,OA,Acropora,25,31.8452381,219,2,8.157500012,0.7656,6.4040187,859626.1682,97.74673972,Shimoda
A2,4C-03,Pr,Acropora,22,29.04761905,988,8,8.30590001,1.051,6.29069804,935360.6557,208.2435689,Shimoda
A3,4D-02,Pr,Acropora,15.5,12.23214286,652,8,2.854400004,0.7133,3.61696234,1032729.927,122.840157,Shimoda
A4,4D-03,OA,Acropora,18,14.64285714,286,8,6.312899998,0.853,7.760247804,439463.4146,209.6909087,Shimoda
A5,4A-08,Pr,Acropora,17.5,5.773809524,311,8,3.498172728,0.7088,10.60270909,1178273.196,286.6340694,Shimoda
A6,4A-07,Pr,Acropora,21,11.2202381,657,8,8.027933342,,15.02522484,1537066.313,,Shimoda
A7,4B-08,Pr,Acropora,14.5,2.946428571,380,8,0.759286001,,3.736607472,2337575.758,,Shimoda
A8,4B-07,OA,Acropora,15,3.720238095,498,8,4.962414966,0.6437,20.00845715,2509920,242.9424386,Shimoda
A9,4A-06,OA,Acropora,17.5,8.660714286,607,8,1.972633996,0.8042,3.985940858,1533144.33,292.7026538,Shimoda
A10,4A-05,OA,Acropora,22,19.52380952,592,8,11.06543506,0.839,12.46885609,833853.6585,183.9008692,Shimoda
A11,4B-06,OA,Acropora,17.5,14.52380952,616,8,9.399501326,0.8024,11.32562865,927786.8852,173.3986842,Shimoda
A12,4B-05,Pr,Acropora,15,8.363095238,663,8,3.545090204,0.6541,6.358453605,1486441.281,117.9032364,Shimoda
A13,4A-04,OA,Acropora,13,4.375,372,8,5.621017071,0.7645,16.70245073,1381714.286,368.2517726,Shimoda
A14,4A-03,OA,Acropora,16,13.39285714,471,8,7.271918423,0.7214,8.687518544,703360,120.9141033,Shimoda
A15,4B-04,OA,Acropora,10,4.672619048,326,8,3.770724796,0.7294,8.06983141,872101.9108,225.6306815,Shimoda
A16,4B-03,OA,Acropora,19,7.202380952,592,8,5.391821652,0.6452,14.22371464,1952132.231,161.0358091,Shimoda
A17,4A-02,Pr,Acropora,18,7.767857143,497,8,6.110650887,0.7634,14.15985309,1439586.207,285.8341387,Shimoda
A18,4A-01,Pr,Acropora,19,7.202380952,349,8,2.566737298,0.7063,6.771095417,1150834.711,246.0001037,Shimoda
A19,4B-02,Pr,Acropora,17.5,9.851190476,845,8,14.144292,0.6138,25.126416,1876359.517,79.03784795,Shimoda
A20,4B-01,Pr,Acropora,15,3.660714286,505,8,4.842845457,0.624,19.84385456,2586585.366,204.34176,Shimoda
P1,4C-02,OA,Porites,40,34.43452381,204,8,3.287100015,0.6325,3.8183772,296214.3475,63.13399343,Shimoda
P2,4C-03,Pr,Porites,26,25.83333333,772,8,11.33500001,0.6172,11.40812904,971225.8065,46.58324656,Shimoda
P3,4D-02,Pr,Porites,34,14.52380952,1069,8,5.843300002,0.6189,13.67906952,3128139.344,110.4493787,Shimoda
P4,4D-03,OA,Porites,18.5,4.970238095,349,8,4.8906,0.6034,18.20357461,1623790.419,145.2021942,Shimoda
P5,4A-08,Pr,Porites,17.5,5.476190476,540,8,2.689277727,0.591,8.593996215,2157065.217,103.7750654,Shimoda
P6,4A-07,Pr,Porites,20.5,6.785714286,566,8,3.869436362,0.6027,11.6897709,2137394.737,116.737253,Shimoda
P7,4B-08,Pr,Porites,24,12.5297619,398,8,7.42664536,0.5905,14.22528936,952931.1164,61.69681165,Shimoda
P8,4B-07,OA,Porites,26.5,11.72619048,603,8,6.544324911,,14.78950989,1703398.477,,Shimoda
P9,4A-06,OA,Porites,26,13.86904762,514,8,6.842763833,0.6343,12.82797958,1204480.687,103.6669982,Shimoda
P10,4A-05,OA,Porites,19,11.19047619,373,8,4.887515877,0.6711,8.298378022,791632.9787,126.8258734,Shimoda
P11,4B-06,OA,Porites,14,5.922619048,318,8,5.367501316,0.6109,12.68780211,939618.0905,101.5584547,Shimoda
P12,4B-05,Pr,Porites,28.5,10.71428571,472,8,12.69469565,0.6901,33.76789044,1569400,225.3350187,Shimoda
P13,4A-04,OA,Porites,24,7.767857143,289,8,6.345638369,0.5809,19.60583441,1116137.931,83.88357252,Shimoda
P14,4A-03,OA,Porites,23,6.101190476,227,8,3.52848089,0.5858,13.30151235,1069668.293,112.0852307,Shimoda
P15,4B-04,OA,Porites,22,5.267857143,132,8,1.992842257,0.5945,8.322649698,689084.7458,143.3245529,Shimoda
P16,4B-03,OA,Porites,18,7.113095238,99,8,3.050963278,0.6043,7.720596612,313154.8117,99.91766428,Shimoda
P17,4A-02,Pr,Porites,17.5,11.78571429,259,8,5.64179001,0.6149,8.377203345,480719.697,66.92544279,Shimoda
P18,4A-01,Pr,Porites,23,6.279761905,170,8,7.24620653,0.6234,26.53966069,778293.8389,181.4902194,Shimoda
P19,4B-02,Pr,Porites,15,4.672619048,193,8,3.298753298,0.6686,10.58962842,774458.5987,235.5609902,Shimoda
P20,4B-01,Pr,Porites,20.5,5.119047619,281,8,1.887056531,0.6215,7.55700313,1406633.721,194.431,Shimoda
,1A,Pr,Acropora,31,32.889416,592,8,5.8879,0.9109,5.549654627,446392.8456,201.102717,Sesoko
,1B,OA,Acropora,31,44.4417932,587,8,3.2954,0.9804,2.298678613,327565.5403,237.738252,Sesoko
,1C,Pr,Acropora,21,46.453694,396,8,2.204,1.0877,0.996347037,143213.5838,294.299301,Sesoko
,2A,OA,Acropora,28,67.6268096,824,8,7.5059,0.891,3.107720168,272933.1771,190.61283,Sesoko
,2E,Pr,Acropora,38,63.4638872,758,8,6.6846,0.9286,4.002509334,363091.5315,210.432918,Sesoko
,1A,Pr,Porites,24,18.965288,346,8,2.4742,0.5899,3.131025482,350282.0521,31.893987,Sesoko
,1B,OA,Porites,14,11.0099948,112,8,1.8864,0.5488,2.398693234,113932.8422,10.228944,Sesoko
,2A,OA,Porites,15,4.904732,196,8,2.9507,0.574,9.024040455,479536.9044,23.51262,Sesoko
